id,title,description,price,size,age,floors,bedroom,city,location,district,house_type,pattern,tags,environment,url,image,CP_value
1412,寵物的窩雙租屋補助✨可貓狗✨聯網電視✨暖心小窩,,13999,20.0,0.0,7,1,台中市,台中市南區合作街,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0c2dce293700150,643821df50d2435ebb6a4d77ff0112be.jpeg,1.2679011048063153
1413,龍井大肚最秒殺可租補✨整棟全新可寵,,7999,10.0,0.0,5,0,台中市,台中市龍井區遊園南路,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=048c2a293698387,d1075ea52752f30cd9124c7b577d5c2f.jpeg,0.2705491279855644
1414,全新整理✨超省租屋補助✨獨洗獨曬✨貓奴首選✨秒殺,,8499,15.0,0.0,1,1,台中市,台中市北屯區文昌二街,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=044f4629367583c,0d8a422b6830d2f56322f9ef3148c883.jpeg,3053.3003882809744
1415,一中台體★共洗獨曬★可租屋補助★小資首選,,6999,10.0,0.0,2,1,台中市,台中市北區育才北路,,公寓,1房1廳1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0aae8d293715484,cc1d5cca2c47e6b8e12bdc46916ca65b.jpeg,0.5592713874448603
1416,東海小資最秒殺全新完工✨獨洗窗曬可租補,,7999,10.0,0.0,3,0,台中市,台中市龍井區新興路,,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0d2aea293700136,052ad1d74953354aa77658a5a0427f0b.jpeg,0.3573290369620662
1417,秒殺✨陽台獨洗流理台✨絕美採光✨機車位✨電梯套房,,9499,15.0,0.0,5,1,台中市,台中市北區三民路三段,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b098f293675318,ba961dcc0cc1660bbcc916b220a0f031.jpeg,0.0
1418,❤獨立套房❤流理臺可租補✨獨立洗衣機✨子母車,,5499,8.0,0.0,3,1,台中市,台中市東區七中路,,透天厝,1房1衛 - 1室,,,https://www.rakuya.com.tw/rent/rent_item?ehid=039ae5293683221,07e8ec518b6b6df0fa08150ced189e24.jpeg,0.0
1419,中區 可寵 可租補 流理臺 台水電計費 電梯套房,,12000,8.0,0.0,11,1,台中市,台中市中區成功路/東協廣場(地上權),,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=09314c29366993e,fb351d85806acac4873c90eeb3163311.jpeg,0.49148505100157736
1420,東區 可寵 可租補 電梯3房住家,,26000,25.0,0.0,5,3,台中市,台中市東區自強街,,電梯大廈,3房2廳2衛 - 1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0d771f293664767,c8a9367a6cf2fc8841548c0e35e3a7fc.jpeg,0.5312811402278709
1421,東海❤共洗獨曬❤機車位❤小資首選❤子母車,,5499,10.0,0.0,3,1,台中市,台中市龍井區遊園南路,,透天厝,1房1廳1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=07d652293715472,72cb3bac593291dd17a63b5ab2da4729.jpeg,0.283293523029895
1422,當月限定✨台水台電✨可租補✨超級秒殺✨月底前秒殺,,7499,12.0,0.0,9,1,台中市,台中市西屯區河南路二段,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0e0d2229370458a,b7aca84d2d2a0a1e8b658f0b91881117.jpeg,1.3139486822654924
1423,下樓逛一中  電梯獨洗套房,,11500,8.0,0.0,7,1,台中市,台中市北區一中街,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0dfaf329365886c,3aef4fc2f7f69dd49bf762e418c714bd.jpeg,0.0
1424,經貿園區旁✨租屋補助✅陽台獨洗曬✅垃圾子母車✅,,14999,20.0,0.0,5,1,台中市,台中市北屯區中清路二段,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b4137293714674,161c2ed3a2201a8f57a2581eb535fef2.jpeg,0.7305196062447745
1425,東區超秒殺✨獨洗獨曬✨誰不愛?✨還有電梯✨別再等了,,6099,12.0,0.0,5,1,台中市,台中市東區玉皇街,,華廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0a4d59293704701,bc29b53ac5c2debb7b60638c21168a8f.jpeg,0.8790871746284523
1426,東海大學首選✨租屋補助✅可貓✅可租室內機車位✅,,8500,13.0,0.0,6,1,台中市,台中市龍井區台灣大道五段,,電梯大廈,1房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0feeef293694747,7ce3407a69017f68c579dcdc85191d79.jpeg,0.4003409040010144
1427,西屯榮總秒殺✨可狗可貓✨電磁爐流理臺✨陽台獨洗曬,,8000,9.0,3.0,4,1,台中市,台中市西屯區永福路,,透天厝,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0066cb29366554b,1b132bbe717e77f5dece79572aa1b19b.jpeg,0.6462453578354853
1428,小資最愛✨可租補✨電梯管理員✨採光極佳✨衛浴開窗,,7999,12.0,0.0,10,1,台中市,台中市西屯區福星路,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=091b9e293704392,5871b5c5a62b8145dea872157c1d607b.jpeg,1.8621947526251679
1429,小資的愛✨獨洗獨曬✨木質地面✨精緻套房✨有電梯免爬,,6299,12.0,0.0,8,1,台中市,台中市東區大勇街,,華廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0d0f8c293704719,5081f968c8aeafb3e4f32a8b8e832ce6.jpeg,0.1250836523100512
1430,租屋補助✨台水電計✨子母車✨木地板✨景觀戶✨,,7499,13.0,0.0,9,1,台中市,台中市西屯區河南路二段,,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=035618293684261,28ae3b4c84977ae3bb6c6373bf650d5b.jpeg,1.3139486822654924
1431,✨電梯美屋✨全新裝潢✨採光通風✨加賴約看✨,,5999,10.0,0.0,10,1,台中市,台中市西屯區福星路,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0d85f2293684371,6b1eba1d102e2ceb192001ae6147b0c6.jpeg,1.9288666310317877
1432,大空間⚡可貓寵⚡管理員⚡台電計⚡獨洗曬⚡台中公園,,9999,14.0,0.0,8,1,台中市,台中市中區自由路二段,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0be666293664359,ccc0cb9fee0564e4f556345e496d76f3.jpeg,1.4833013174225094
1433,秒殺可租補@2房2衛1室@電梯管理員@汽機車位,,23000,28.0,0.0,4,2,台中市,台中市西屯區台灣大道三段/興富發上城,,電梯大廈,2房1廳2衛 - 1室1陽台1廚房,,有對外窗;有中庭;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=04d265293688327,010703cdd9f0055d1d4f2056c7b5b2c0.jpeg,0.9998217232374254
1434,租屋補助✨可寵✨中興大學學生首選✨陽台獨洗曬✨,,12999,17.0,0.0,5,1,台中市,台中市南區仁和路,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ea3a0293701393,f474e5f06448d82a6a90c58c065362eb.jpeg,0.09932472717084265
1435,勤美綠園✨可貓貓✨陽台獨洗✨小資首選,,6999,13.0,0.0,3,0,台中市,台中市西區向上路一段,,公寓,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0a735429368075c,65d789a46a0abaab7b7d4e986fe1eea9.jpeg,1.6114071701333357
1436,✨新興路金蛇添翼✨可雙租屋補助✨陽台獨洗✨近東海✨,,12499,16.0,0.0,1,0,台中市,台中市龍井區新興路,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=05f4de29367893d,64da9ebbe476c3b7c9ff11ff12c6f5da.jpeg,0.14820712801820443
1437,✨電梯美屋✨租屋補助✨大面採光✨加賴約看✨秒殺物件,,7999,15.0,0.0,10,1,台中市,台中市西屯區福星路,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0d15e7293684586,0b5c610817ad9939d66dc0939154a241.jpeg,1.7805195441766957
1438,近中國醫✨陽台獨洗✨可租補✨冷氣有換✨,,6499,11.0,0.0,5,1,台中市,台中市北區健行路,,公寓,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e5591293715545,8a9ac80f11e143d0d2dcbf07b6257385.jpeg,0.8764064093941596
1439,新興路蛇財進寶✨最省台電計✨可租補✨貓貓天堂✨採光,,12499,16.0,0.0,3,0,台中市,台中市龍井區新興路,,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0cb96729368300e,aaae131c59207a75398a10d66d74990a.jpeg,0.3390359137671343
1440,幸福就是你❤️可租補❤️台水台電❤️陽台獨洗,,7999,11.0,0.0,7,0,台中市,台中市西屯區西安街,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=04a18129369042f,7e18fad51b2c595b9cc43d5476dd9e4e.jpeg,1.733556299318824
1441,文華高中❤共洗獨曬❤可貓咪❤小資首選❤子母車,,4999,10.0,0.0,4,1,台中市,台中市西屯區天水西二街,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0b32c929371486b,f3ff27e39207d85073e8f930727fbc03.jpeg,0.885030531804541
1442,雙租屋補助✅世貿旁✅陽台獨洗曬✅乾溼分離✅子母車✅,,14399,20.0,0.0,3,1,台中市,台中市西屯區中工三路,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e9391293693821,15967ee3020c28716ca70eb27982fcae.jpeg,0.4889539035397615
1443,馬上入住✅租屋補助✅陽台獨洗曬✅系統櫃✅子母車✅,,11500,14.0,0.0,2,1,台中市,台中市南區五權南路,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=09cf21293699713,47927851120feaf6ae009b5607a5dcda.jpeg,0.0
1444,東海情侶家庭大套房可租補✨採光佳可寵,,11999,14.0,0.0,2,0,台中市,台中市龍井區新興路,,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=089b52293699072,13b821b5e979a71bfd9d96a6791183e7.jpeg,0.340636485175331
1445,整棟新蓋✨神秘優惠✨絕美採光✨陽台獨洗✨電梯套房,,8999,15.0,0.0,3,1,台中市,台中市北屯區天津路四段,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0214e7293655655,da061ec46752c373d4739a6f49b44e6c.jpeg,2.206566330290312
1446,飯店式管理✨可雙租補✨高品質貓貓愛✨採光佳✨你會愛,,6499,10.0,0.0,3,1,台中市,台中市龍井區台灣大道五段,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=01fb01293704501,1e450bbfc5f974bb550c423aeaa461a4.jpeg,0.4135968120796811
1447,東海情侶套房首選可雙租補✨乾濕分離,,10499,12.0,0.0,2,0,台中市,台中市龍井區新興路,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0c9575293699806,e67013a52cd93d5cba8d4c2f68c0ce4f.jpeg,0.3400403821222996
1448,可租補大空間✨近新光遠百✨衛浴乾溼分離流理台,,13799,20.0,0.0,3,1,台中市,台中市西屯區青海路二段,,透天厝,1房1衛 - 1陽台,,陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0663e4293715525,d09449991d7b2d1434f913d2638c2af3.jpeg,1.125360902311944
1449,學府路金蛇報喜✨陽光套房✨包裹管理員代收✨生活機能,,6499,10.0,0.0,3,0,台中市,台中市南區學府路,,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ad923293670091,22e4c02d2367e4274e79e13cead00d5a.jpeg,0.0
1450,幸福就是你❤️小資首選❤️有電梯❤️共洗窗曬,,5999,9.0,0.0,2,0,台中市,台中市南區五權南路,,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0cb31d293690566,a03ea79fc4dab06ecaced23a08ab016b.jpeg,0.0
1451,出來就勤益科大可雙租補✨陽台獨洗曬台電,,8999,11.0,0.0,7,0,台中市,台中市太平區坪林路,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=02c37429370247f,1b677899ed64847afccf027fe35a16ac.jpeg,0.15301007399823333
1452,租屋補助✅超大陽台使用空間✅採光超好✅兒童公園旁✅,,7999,13.0,0.0,4,1,台中市,台中市太平區中山路二段,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=08194c29365555d,693c06a6fbe3ca35737c009d39a247f6.jpeg,0.296072630625712
1453,西區質感裝潢✨獨洗曬子母車飲水機✨近美術館五權車站,,12500,13.0,5.0,9,1,台中市,台中市西區公館路,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ddb86293658914,b481fc9e8f19f5dd637df8e11934e75f.jpeg,0.0
1454,幸福就是你❤️可租補❤️有電梯❤️陽台獨洗,,11499,11499.0,0.0,6,0,台中市,台中市西區向上路一段,,透天厝,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0104a6293693311,281e351d6a66d9d5ff97f760b8390ddd.jpeg,1.5189234911139624
1455,晚來只能哭哭哦!**逢甲第一省**寵物也友善,,5999,8.0,0.0,4,1,台中市,台中市西屯區西安街,,華廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0948b6293650522,2da7414bfd75ec9c38600cd0568d6970.jpeg,1.7956225545460391
1456,西屯最秒殺✨可租補✨台水台電✨有電梯✨機能超好,,7999,12.0,0.0,8,1,台中市,台中市西屯區河南路二段,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=07089b29370456e,2b0c9c568cf26bc9032730476429cefc.jpeg,1.3037405148587387
1457,澄清工業大套房✨福蛇迎春中工三路✨租屋補助✨陽台獨,,14399,18.0,0.0,3,0,台中市,台中市西屯區中工三路,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0b9e3a29366724f,2abdf9bbe7644ee42b47b00a718179a6.jpeg,0.4889539035397615
1458,小資爬樓梯✨可租補✨多間選✨機車好停✨中國醫,,4999,10.0,0.0,5,1,台中市,台中市北區大德街,,公寓,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=03360e293664726,dea476915417df6062e59d2b5a0971c8.jpeg,1.1273860808561513
1459,✨小資首選✨絕美採光✨租屋補助✨電梯管理員,,7999,13.0,0.0,10,1,台中市,台中市西屯區福星路,,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=03997a293680078,d68d77ba562c27796eb902a81a50977f.jpeg,1.8621947526251679
1460,O3L97）樹林車站【秒殺3房1廳】可寵★租屋補助,,16000,29.0,0.0,4,3,新北市,新北市板橋區篤行路三段,,公寓,3房1廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0517d629369023d,ab3db8da6c7dd0651e560de7c2c6dcf4.jpeg,1.1904863714152942
1461,租補電梯兩房❤️陽台獨洗獨曬❤️可貓咪❤️子母車,,21999,23.0,0.0,4,2,台中市,台中市太平區中山路四段,,電梯大廈,2房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e5a5e29365226c,92d4528a16daa51ec872ad8d4650f587.jpeg,0.5527997752690893
1462,三房⚡台水電⚡管理員⚡子母車⚡陽台獨洗⚡平面車位,,22500,25.0,0.0,12,3,台中市,台中市烏日區三榮路二段/富都匯,,電梯大廈,3房2廳2衛 - 2陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0f219329367011f,997a6e3a04ac16774aebd42ed73382e5.jpeg,0.0
1463,南屯路二段蛇來運轉✨大面採光✨可租補✨陽台獨洗✨貓,,9999,10.0,0.0,4,0,台中市,台中市南屯區南屯路二段,,透天厝,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0c266129367264a,68ab01be307168efa6694469ef83cdcb.jpeg,0.7466215076302309
1464,嶺東科大金蛇繞福環中路陽台獨洗視野遼闊,,11999,12.0,0.0,3,0,台中市,台中市南屯區環中路四段,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0570dd29367442c,a0243e474cd61098e45c36aa6386dc7a.jpeg,0.1956226672006901
1465,龍井小資大套房可租補可寵,,4699,6.0,0.0,4,0,台中市,台中市龍井區新興路,,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=03e35a29369916b,10fac6a81a5f28c46f895580d56eac4e.jpeg,0.3816693262033817
1466,租屋補助✨陽台獨洗✨乾溼分離✨超大空間✨,,13799,17.0,0.0,3,1,台中市,台中市西屯區青海路二段,,透天厝,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0075de293715580,45e0f4c6a3cbd478ae23825309854956.jpeg,1.125360902311944
1467,水湳園區✨租屋補助✨騎樓停車✨陽台獨洗曬✨,,11499,16.0,0.0,6,1,台中市,台中市北屯區后庄北路,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b288229370007e,216f6c4d886a35780583e0cd6395a32c.jpeg,0.2083262740549092
1468,東大學生首選✨租屋補助✨可寵✨工業風一房一廳✨,,12499,18.0,0.0,2,1,台中市,台中市龍井區新興路,,透天厝,1房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0c8e51293714637,959efc10707960939561e06d60616e0b.jpeg,0.3390359137671343
1469,中蔗路金蛇添彩✨雙租屋補助+入戶籍✨傢俱全配✨,,9999,13.0,0.0,3,0,台中市,台中市大肚區中蔗路,,透天厝,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0404fa293678405,e9ba6f93f84f4e1d109fb472d72b7150.jpeg,0.08549860140639129
1470,L0O63）比漾廣場【採光大空間】可寵★垃圾代收,,22800,10.0,20.0,11,1,新北市,新北市中和區中山路二段,,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=06061d29361445b,72530cd9adccf18da09ef55ed667972a.jpeg,1.3195690534967524
1471,租屋補助✅黎明商圈✅陽台獨洗曬✅子母車✅,,14000,20.0,0.0,4,1,台中市,台中市南屯區黎明路二段,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e7a2b293714753,23bb31b10fc46159d5299cf56cee2f46.jpeg,0.5651006471970196
1472,✨電梯美屋✨台水台電✨租屋補助✨加賴約看✨秒殺物件,,7499,13.0,0.0,9,1,台中市,台中市西屯區河南路二段,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0b474d29368424b,a0d2a7af624d56cb914680cc1360355b.jpeg,1.3139486822654924
1473,西屯 可租補 流理臺 陽台獨洗 一房一廳,,14800,8.0,0.0,3,1,台中市,台中市西屯區青海路二段,,透天厝,1房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0d1b2a29366586d,0f39446bb821e68bdf34535d881b6deb.jpeg,1.1164404127778478
1474,雙租屋補助✅可寵✅陽台獨洗曬✅流理臺1房1廳小豪宅,,22499,30.0,0.0,2,1,台中市,台中市西區忠仁街,,透天厝,1房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0df58e29369542f,34ecb35a3a09522c09f1fe82471e0212.jpeg,1.0829412131332519
1475,機車好停✨租補可貓✨獨洗曬衣✨大空間✨文心崇德捷運,,10499,17.0,0.0,4,1,台中市,台中市北屯區文昌二街,,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0b4d11293664903,aafde49eff1ea8d35fbe1e071c1da8df.jpeg,2.5651302081609515
1476,北屯兩房含平車✨可狗可貓✨可租補雙租補✨乾溼分離,,24000,25.0,1.0,10,2,台中市,台中市北屯區環太東路/總太心之所向,,電梯大廈,2房1廳1衛 - 1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e0ba929365527a,596f841b0dc5c289a0bf834148b9c367.jpeg,0.3494521237547451
1477,S0A92）捷運永寧1分【超值租案】可補助★附傢俱,,10000,5.0,20.0,3,1,新北市,新北市土城區中央路三段,,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=04914229367745d,2afbf7e6b9d7a58dfe6cc7c41f4321fc.jpeg,0.18491340290257244
1478,L0O65）比漾廣場【電梯大空間】可寵★垃圾代收,,21000,8.0,20.0,11,1,新北市,新北市中和區中山路二段,,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=09eeea29361473b,62b23215753fc4bda407d548ac8f209d.jpeg,1.3314674962037407
1479,雙租屋補助✅可貓狗✅可短租✅獨洗曬陽台✅精誠商圈✅,,9999,14.0,0.0,3,1,台中市,台中市西區大隆路,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01a550293699786,27387caae90285e71d3d8eda9284c61d.jpeg,1.4634179217466043
1480,雙租屋補助✅烏日三鐵旁✅陽台獨洗曬✅乾溼分離✅,,13999,19.0,0.0,1,1,台中市,台中市烏日區新興路,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=057788293693970,20cd277fbd6813c5bceaea68788390b1.jpeg,0.21801014471782798
1481,整棟新蓋✨陽台獨洗✨系統裝潢✨租屋補助✨電梯套房,,11499,15.0,0.0,6,1,台中市,台中市北屯區后庄北路,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b6518293655268,5ce20bab1bff871da94a874a37699c80.jpeg,0.2083262740549092
1482,勤益小資最秒殺陽台獨洗✨可短租可貓貓,,7999,10.0,0.0,6,0,台中市,台中市太平區宜欣七街,,電梯大廈,開放式格局,,陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0402dd293700166,4e93fbe39a406bf8dd647e635aa398ef.jpeg,0.517616633542193
1483,上城最秒殺✨2+1搶✨租屋補助✨含車位全配✨,,22999,35.0,0.0,4,2,台中市,台中市西屯區台灣大道三段,,電梯大廈,2房1廳1衛 - 1室1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b979e293715531,f59d90342050bd85011cb6ab6910ee7d.jpeg,0.9998264464987481
1484,走路逢甲✨雙租屋補助✨陽台獨洗✨機車位✨,,9499,13.0,0.0,3,1,台中市,台中市西屯區逢甲路,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=00375b29371550c,a1f55a37e1bb27ed0a25e3188e1da5a4.jpeg,1.5993312996741251
1485,世界大空間✨貓奴首選✨可租補✨超值首選✨台電均分,,12499,15.0,0.0,2,1,台中市,台中市龍井區新興路,,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=02cfbc29370337d,a6afcd6ab66a8c88c2ecc32256567080.jpeg,0.3390359137671343
1486,大兩房平車位✨台水電季✨租屋補助✨高樓景觀戶✨,,26999,40.0,0.0,21,2,台中市,台中市北屯區四平路,,電梯大廈,2房1廳1衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0d9cdd293694077,5068a08d1464c337660601cbced25505.jpeg,0.0
1487,南區一房一廳✨✨陽台獨洗曬✨樓梯三樓,,12000,12.0,5.0,3,1,台中市,台中市南區五權南路,,透天厝,1房1廳2衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=052a6d293657968,05472ee2a2005388e0ed176a406bc224.jpeg,0.0
1488,大坪數兩房／可貓咪／廚房陽台獨洗／合租首選／機車位,,23500,40.0,0.0,3,2,台中市,台中市東區忠孝路,,透天厝,2房1廳1衛 - 1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0a64b9293664270,8f23cdf1831ffe995f5f24946f308581.jpeg,0.0
1489,S0A23）清水高中【超值租案】補助★獨洗★附傢俱,,11000,10.0,20.0,1,1,新北市,新北市土城區延吉街,,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=011c31293679001,52e4766f2cfe251fffcf712497a04545.jpeg,0.2782226473432606
1490,A0R59）捷運市府3分【秒殺電梯】限女★共用廚房,,15000,7.0,20.0,7,1,台北市,台北市信義區基隆路一段,,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=05e9f9293688012,81309edd509f76de0b082d8c55602330.jpeg,1.7636697495860723
1491,即將空出✨水湳中國醫✨可租補✨陽台獨洗✨乾溼分離,,11499,13.0,0.0,4,1,台中市,台中市北屯區大連路一段,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0dd74129366524e,6a7859b7a57259e3f446630df0ba32e0.jpeg,1.7565914939089997
1492,雙租補電梯套房❤️陽台獨洗獨曬❤️近一中商圈火車站,,8499,9.0,0.0,5,1,台中市,台中市中區成功路,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e912229365188b,26d49896e6baf9d6804e53e7b717a485.jpeg,0.5118354513316176
1493,南屯 可貓 可營登 工作室出租,,12000,8.0,0.0,3,0,台中市,台中市南屯區文心南三路/親家ONECITY,,電梯大廈,,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=02f64029370263e,85e4ccc2dd398cf316a0d65a12e692c2.jpeg,0.47980619830451016
1494,可租補正夯新成屋三房兩衛含管含車2萬有找＾＾,,19500,24.0,0.0,4,3,台中市,台中市梧棲區八德路/和築好好窩,,電梯大廈,3房1廳2衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=04f7e1293648256,4eef5b3db5f3f37c6d97a24d3b21d81b.jpeg,0.0
1495,**運河星鑽河景套房~,,6500,6.5,28.0,9,1,台南市,台南市中西區環河街/凱迪拉克大樓,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0b306c29367897c,264decec8fc16da5db397555e4e15a35.jpeg,1.2554257909059292
1496,福蛇來送喜大墩路✨超大間可工作室✨可租補✨活機能佳,,10999,15.0,0.0,2,0,台中市,台中市南屯區大墩路,,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=072211293675950,4eeb792f408b64da98f150b789db4d17.jpeg,1.3232920603001437
1497,太平 可營登 含車位 店面出租,,35000,15.0,0.0,1,0,台中市,台中市太平區樹孝路,,電梯大廈,,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=031fba293654269,b3dcdb49191dbed126b3c9dcda03f965.jpeg,0.4966298729068804
